angle,distance
0.00,5005.56
0.36,5012.46
0.72,5009.25
1.08,4996.86
1.44,4998.07
1.80,5005.02
2.16,5014.71
2.52,5016.18
2.88,5022.99
3.24,4994.07
3.60,5002.89
3.96,5011.59
4.32,5015.93
4.68,5010.39
5.04,5038.48
5.40,5039.70
5.76,5044.18
6.12,5008.72
6.48,5026.70
6.84,5049.99
7.20,5053.78
7.56,5036.91
7.92,5061.36
8.28,5034.69
8.64,5038.25
9.00,5071.92
9.36,5086.63
9.72,5086.92
10.08,5060.35
10.44,5070.41
10.80,5088.63
11.16,5076.78
11.52,5104.72
11.88,5110.25
12.24,5104.53
12.60,5115.69
12.96,5118.85
13.32,5135.35
13.68,5143.42
14.04,5161.23
14.40,5179.98
14.76,5156.47
15.12,5170.47
15.48,5201.81
15.84,5210.20
16.20,5201.41
16.56,5196.62
16.92,5237.21
17.28,5223.42
17.64,5250.07
18.00,5258.76
18.36,5257.85
18.72,5268.44
19.08,5292.71
19.44,5304.85
19.80,5310.93
20.16,5327.30
20.52,5358.47
20.88,5369.33
21.24,5375.43
21.60,5371.41
21.96,5390.25
22.32,5389.35
22.68,5436.74
23.04,5439.05
23.40,5438.51
23.76,5444.39
24.12,5493.84
24.48,5482.88
24.84,5506.86
25.20,5527.80
25.56,5546.11
25.92,5577.09
26.28,5584.99
26.64,5604.71
27.00,5605.14
27.36,5613.73
27.72,5652.69
28.08,5666.43
28.44,5691.64
28.80,5710.20
29.16,5725.74
29.52,5744.45
29.88,5765.86
30.24,5785.02
30.60,5796.65
30.96,5849.73
31.32,5852.52
31.68,5894.54
32.04,5907.30
32.40,5923.65
32.76,5946.15
33.12,5977.02
33.48,6000.07
33.84,6020.30
34.20,6062.00
34.56,6069.56
34.92,6091.32
35.28,6121.63
35.64,6142.41
36.00,6174.72
36.36,6220.76
36.72,6247.43
37.08,6269.68
37.44,6284.89
37.80,6336.89
38.16,6375.92
38.52,6386.88
38.88,6355.38
39.24,6340.54
39.60,6282.26
39.96,6241.11
40.32,3005.36
40.68,3002.63
41.04,2999.75
41.40,2999.04
41.76,2991.99
42.12,3004.69
42.48,3003.41
42.84,3001.49
43.20,3002.62
43.56,3008.78
43.92,3006.88
44.28,3003.52
44.64,2997.24
45.00,2992.02
45.36,3007.44
45.72,2995.39
46.08,3000.51
46.44,3005.52
46.80,3007.82
47.16,2992.64
47.52,2994.98
47.88,2997.56
48.24,2992.56
48.60,2997.91
48.96,2993.26
49.32,2991.29
49.68,3001.03
50.04,5212.69
50.40,5174.52
50.76,5146.80
51.12,5131.17
51.48,5110.20
51.84,5086.58
52.20,5080.37
52.56,5022.59
52.92,5023.27
53.28,4985.17
53.64,4958.07
54.00,4959.07
54.36,4916.37
54.72,4905.80
55.08,4864.92
55.44,4854.66
55.80,4855.16
56.16,4802.90
56.52,4806.56
56.88,4774.59
57.24,4763.17
57.60,4719.13
57.96,4709.93
58.32,4700.04
58.68,4670.20
59.04,4675.41
59.40,4627.90
59.76,4649.98
60.12,4594.70
60.48,4610.48
60.84,4589.73
61.20,4555.08
61.56,4529.41
61.92,4543.60
62.28,4506.57
62.64,4494.82
63.00,4483.28
63.36,4470.75
63.72,4461.45
64.08,4465.89
64.44,4432.74
64.80,4410.41
65.16,4397.57
65.52,4394.85
65.88,4385.46
66.24,4361.53
66.60,4350.15
66.96,4349.17
67.32,4321.55
67.68,4305.52
68.04,4305.90
68.40,4287.66
68.76,4307.89
69.12,4279.87
69.48,4253.47
69.84,4253.76
70.20,4235.02
70.56,4225.73
70.92,4241.54
71.28,4235.56
71.64,4209.79
72.00,4221.51
72.36,4215.38
72.72,4176.44
73.08,4165.26
73.44,4187.68
73.80,4149.34
74.16,4175.76
74.52,4158.48
74.88,4125.13
75.24,4131.85
75.60,4146.42
75.96,4142.55
76.32,4118.15
76.68,4114.10
77.04,4091.82
77.40,4092.81
77.76,4111.55
78.12,4090.30
78.48,4084.03
78.84,4070.31
79.20,4088.42
79.56,4054.81
79.92,4064.21
80.28,4041.72
80.64,4035.61
81.00,4036.88
81.36,4048.10
81.72,4040.98
82.08,4025.74
82.44,4018.36
82.80,4034.46
83.16,4040.10
83.52,4029.22
83.88,4015.56
84.24,4034.88
84.60,4013.06
84.96,4014.59
85.32,4022.16
85.68,4030.78
86.04,4017.12
86.40,3998.25
86.76,4007.19
87.12,4014.70
87.48,3986.21
87.84,3998.54
88.20,3987.77
88.56,3983.62
88.92,4020.64
89.28,3982.78
89.64,3985.77
90.00,4006.05
90.36,3992.53
90.72,3989.51
91.08,4016.12
91.44,3993.67
91.80,4012.97
92.16,4002.25
92.52,3988.38
92.88,4009.32
93.24,4020.83
93.60,4010.80
93.96,4029.14
94.32,4028.63
94.68,4001.92
95.04,4000.76
95.40,4016.94
95.76,4005.31
96.12,4006.44
96.48,4019.22
96.84,4014.93
97.20,4050.82
97.56,4018.93
97.92,4019.26
98.28,4057.12
98.64,4057.01
99.00,4067.72
99.36,4050.42
99.72,4054.88
100.08,4062.53
100.44,4054.91
100.80,4077.51
101.16,4068.45
101.52,4084.56
101.88,4068.43
102.24,4081.82
102.60,4113.83
102.96,4110.35
103.32,4111.89
103.68,4113.91
104.04,4130.80
104.40,4135.57
104.76,4137.09
105.12,4155.52
105.48,4149.88
105.84,4167.56
106.20,4153.69
106.56,4162.28
106.92,4194.10
107.28,4200.62
107.64,4210.47
108.00,4195.25
108.36,4224.39
108.72,4205.34
109.08,4239.14
109.44,4248.68
109.80,4262.44
110.16,4258.73
110.52,4275.39
110.88,4300.95
111.24,4285.92
111.60,4320.82
111.96,4293.94
112.32,4333.88
112.68,4319.65
113.04,4355.47
113.40,4362.78
113.76,4387.68
114.12,4366.46
114.48,4383.69
114.84,4389.20
115.20,4418.59
115.56,4439.99
115.92,4442.22
116.28,4460.92
116.64,4478.86
117.00,4493.36
117.36,4491.88
117.72,4501.61
118.08,4522.19
118.44,4534.79
118.80,4578.31
119.16,4598.29
119.52,4593.99
119.88,4596.93
120.24,4610.09
120.60,4663.98
120.96,4656.99
121.32,4674.48
121.68,4697.06
122.04,4721.22
122.40,4718.73
122.76,4762.40
123.12,4781.33
123.48,4792.65
123.84,4819.74
124.20,4829.87
124.56,4864.82
124.92,4879.13
125.28,4880.05
125.64,4933.63
126.00,4960.03
126.36,4950.03
126.72,4996.96
127.08,5007.57
127.44,5039.82
127.80,5069.86
128.16,5106.10
128.52,5125.20
